Year,Mo,Dy,Hr,Name,Latitude,Longitude,magnitude,deaths,location
1903,4,28,23,TURKEY: MALAZGIRT,39.1,42.5,6.3,3560,TURKEY
1903,5,13,6,VANUATU ISLANDS,-17,168,7.9,,VANUATU ISLANDS
1903,5,13,,ITALY: PALERMO,38.1,13.4,,,ITALY
1903,5,28,3,"TURKEY: VARGINIS,CARDAHLI,MEHKEREK",40.9,42.7,5.8,1000,TURKEY
1903,6,2,13,ALASKA: SOUTHWEST,61.56,-158.54,8.3,,ALASKA
1903,7,16,,MEXICO: ACAPULCO,16.7,-99.2,,,MEXICO
1903,7,28,4,ITALY: N,44.3,10,,,ITALY
1903,8,8,1,COLOMBIA,4.6,-74,7.7,,COLOMBIA
1903,8,11,4,GREECE: MITATA (KYTHERA),36,23,7.8,2,GREECE
1903,9,7,,TAIWAN,,,,,TAIWAN
1903,9,25,1,IRAN: KASHMAR,35.2,58.2,6.5,350,IRAN
1903,9,26,,CHILE: IQUIQUE,-20.2,-70.15,,,CHILE
1903,12,7,14,"CHILE: VALLENAR, FREIRINA",-28.5,-71,6.5,,CHILE
1903,12,28,2,PHILIPPINES: DAVAO GULF,7,126,7.8,,PHILIPPINES
1904,1,20,14,PANAMA-COLOMBIA,7,-79,7.9,,PANAMA-COLOMBIA
1904,3,18,13,JAPAN: HOKKAIDO,42.5,145.8,7.6,,JAPAN
1904,4,4,10,BULGARIA: STRUMA,41.8,23.2,7.5,,BULGARIA
1904,4,4,10,BULGARIA: STRUMA,41.8,23.2,7.8,,BULGARIA
1904,4,24,6,TAIWAN: JIAYI,23.5,120.5,6,3,TAIWAN
1904,6,7,8,JAPAN: SEA OF JAPAN,40,134,7.9,,JAPAN
1904,6,25,14,RUSSIA: OFF KAMCHATKA,52,159,8.3,,RUSSIA
1904,6,25,21,RUSSIA: OFF KAMCHATKA,52,159,8.1,,RUSSIA
1904,6,27,0,RUSSIA: OFF KAMCHATKA,52,159,7.9,,RUSSIA
1904,8,8,22,NEW ZEALAND: E OF NORTH ISLAND,-40.5,177,7.5,,NEW ZEALAND
1904,8,11,5,"GREECE: SAMOS, PATMOS",37.75,27,6.2,4,GREECE
1904,8,24,20,JAPAN: KYUSHU,30,130,7.9,,JAPAN
1904,8,27,21,ALASKA: RAMPART,64.66,-148.08,8.3,,ALASKA
1904,8,30,,CHINA: SICHUAN PROVINCE,31.2,100.9,6,400,CHINA
